Fecha,Producto,Volumen_Hoy,Volumen_7Dias,Precio_Ayer,Precio_7Dias,Precio_Hoy_Kg
2022-01-04,AGUAJE,5,4,19.75,19.79,21.25
2022-01-04,AGUAYMANTO,2,1,4.38,4.36,4.23
2022-01-04,ALBARICOQUE,5,7,3.23,3.2,3.23
2022-01-04,ARÁNDANO,8,6,7.75,7.82,7.75
2022-01-04,CAIMITO (SELVA),4,5,51.25,51.36,52.5
2022-01-04,CAMU CAMU,1,1,5.25,5.16,5.25
2022-01-04,CARAMBOLA,10,12,14.75,14.71,13.75
2022-01-04,CHIRIMOYA CRIOLLA O HUAYCO,3,4,5.6,5.73,5.58
2022-01-04,CHIRIMOYA CUMBE,12,15,5.68,5.77,5.65
2022-01-04,CIRUELA NECTARINA (IMPORTADA),8,10,58.75,58.79,59.25
2022-01-04,CIRUELA ROJA/CRIOLLA,13,15,32.5,32.75,32.75
2022-01-04,CIRUELA SANTA ROSA/NACIONAL,5,5,34.75,35.21,34.5
2022-01-04,COCO,8,6,1.78,1.77,2.15
2022-01-04,COCONA,16,20,20.75,21.43,20.75
2022-01-04,FRESA SABRINA,17,31,2.23,2.25,2.25
2022-01-04,FRESA SAN ANDREAS,40,54,2.28,2.28,2.28
2022-01-04,GRANADA,6,9,71.25,71.71,71.75
2022-01-04,GRANADILLA (COSTA),4,7,21.75,21.54,22.25
2022-01-04,GRANADILLA (SELVA),35,39,39.5,38.96,40.0
2022-01-04,GUANABANA (COSTA),5,6,5.28,5.33,5.13
2022-01-04,GUANABANA (SELVA),5,6,5.08,5.14,4.93
2022-01-04,HIGO MADURO,5,8,42.75,43.36,42.75
2022-01-04,KIWI IMPORTADO,7,10,108.75,109.07,109.25
2022-01-04,LIMA DULCE,3,4,2.45,2.48,2.48
2022-01-04,LIMON DULCE - SELVA,11,14,30.75,30.5,31.5
2022-01-04,LUCUMA BELTRAN,6,6,6.28,6.36,6.18
2022-01-04,LUCUMA DE SEDA,5,4,6.13,6.18,6.08
2022-01-04,MAMEY,8,11,3.08,3.21,3.33
2022-01-04,MANDARINA MALVACEA,15,11,1.98,1.9,1.98
2022-01-04,MANDARINA MURCOTT,12,11,2.75,2.75,2.73
2022-01-04,MANDARINA RIO DE ORO,14,13,2.78,2.81,2.78
2022-01-04,MANDARINA SATSUMA,50,52,2.25,2.28,2.23
2022-01-04,MANDARINA TANGERINA,12,20,18.5,18.71,18.5
2022-01-04,MANGO CRIOLLO,21,14,2.13,2.01,2.15
2022-01-04,MANGO EDWARD,57,72,1.55,1.51,1.5
2022-01-04,MANGO HADEN /HAYDE,49,45,1.48,1.46,1.48
2022-01-04,MANGO KAFRO,20,17,2.13,2.12,2.15
2022-01-04,MANGO KENT,19,29,2.08,2.15,2.08
2022-01-04,MANGO PICO DE LORO,4,10,2.13,2.04,2.15
2022-01-04,MANZANA CTE/PARA AGUA,21,20,24.5,24.57,24.75
2022-01-04,MANZANA DELICIA,70,87,56.25,55.46,56.25
2022-01-04,MANZANA GOLDEN,8,10,3.08,3.22,3.08
2022-01-04,MANZANA IMPORTADA,11,15,98.75,98.39,98.75
2022-01-04,MANZANA ISRAEL,30,47,0.85,0.86,0.85
2022-01-04,MANZANA WINTER,12,11,44.25,44.5,45.25
2022-01-04,MARACUYA,7,17,2.58,2.54,2.58
2022-01-04,MELOCOTON BLANQUILLO,9,12,35.25,36.43,35.0
2022-01-04,MELOCOTON DURAZNO HUAYCO,22,29,36.5,36.79,35.75
2022-01-04,MELON COQUITO,22,34,14.75,14.64,15.25
2022-01-04,MELON ESMERALDA,6,8,17.25,17.43,17.5
2022-01-04,MEMBRILLO CRIOLLO,11,13,2.53,2.55,2.48
2022-01-04,MEMBRILLO SERRANO,12,19,57.5,58.54,57.25
2022-01-04,NARANJA PRIMAVERA,18,22,1.28,1.24,1.28
2022-01-04,NARANJA TANGELO SELVA,46,65,40.75,41.36,40.75
2022-01-04,NARANJA VALENCIA,133,164,18.75,18.79,18.75
2022-01-04,NARANJA WASHINGTON NAVAL,15,14,4.38,4.51,4.28
2022-01-04,NONI,5,6,1.9,1.92,2.08
2022-01-04,PACAE CRIOLLO,6,4,5.15,5.15,5.08
2022-01-04,PACAE DE SEDA,6,6,5.08,5.15,5.0
2022-01-04,PALTA CHOQUETE,7,8,34.25,33.82,33.5
2022-01-04,PALTA COLLIN RED,6,10,32.5,32.86,32.5
