Decreto,Anio,Tipo,Evento,Zona_Impacto_Logistico,Fecha_Inicio,Fecha_Fin
D.S. N° 001-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central),10/01/2020,09/03/2020
D.S. N° 003-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Otras Regiones,12/01/2020,11/03/2020
D.S. N° 010-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),24/01/2020,23/03/2020
D.S. N° 012-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Norte (Panamericana Norte) / Eje Sur (Panamericana Sur),30/01/2020,29/03/2020
D.S. N° 014-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),05/02/2020,20/03/2020
D.S. N° 019-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Norte (Panamericana Norte),10/02/2020,09/04/2020
D.S. N° 024-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,14/02/2020,13/04/2020
D.S. N° 025-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,17/02/2020,16/04/2020
D.S. N° 027-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Otras Regiones,16/02/2020,15/04/2020
D.S. N° 028-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,21/02/2020,20/04/2020
D.S. N° 029-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central) / Eje Norte (Panamericana Norte),21/02/2020,20/04/2020
D.S. N° 031-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Otras Regiones,28/02/2020,27/04/2020
D.S. N° 034-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Otras Regiones,01/03/2020,29/04/2020
D.S. N° 035-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Otras Regiones,02/03/2020,30/04/2020
D.S. N° 036-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central) / Eje Sur (Panamericana Sur),06/03/2020,04/05/2020
D.S. N° 038-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,06/03/2020,04/05/2020
D.S. N° 039-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central),06/03/2020,04/05/2020
D.S. N° 041-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Otras Regiones,07/03/2020,20/04/2020
D.S. N° 042-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central) / Eje Norte (Panamericana Norte) / Eje Sur (Panamericana Sur),08/03/2020,21/04/2020
D.S. N° 055-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),03/04/2020,01/06/2020
D.S. N° 071-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,19/04/2020,17/06/2020
D.S. N° 073-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,23/04/2020,21/06/2020
D.S. N° 077-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Otras Regiones,25/04/2020,23/06/2020
D.S. N° 078-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central) / Eje Sur (Panamericana Sur),26/04/2020,24/06/2020
D.S. N° 079-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),27/04/2020,25/06/2020
D.S. N° 082-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,09/05/2020,07/07/2020
D.S. N° 085-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central),14/05/2020,12/07/2020
D.S. N° 086-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Otras Regiones,15/05/2020,13/07/2020
D.S. N° 088-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Norte (Panamericana Norte),21/05/2020,19/07/2020
D.S. N° 097-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),26/05/2020,24/07/2020
D.S. N° 106-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,12/06/2020,10/08/2020
D.S. N° 111-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),23/06/2020,21/08/2020
D.S. N° 112-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,25/06/2020,23/08/2020
D.S. N° 115-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,27/06/2020,25/08/2020
D.S. N° 118-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central) / Eje Sur (Panamericana Sur),01/07/2020,29/08/2020
D.S. N° 119-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),03/07/2020,31/08/2020
D.S. N° 123-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),12/07/2020,09/09/2020
D.S. N° 124-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,12/07/2020,09/09/2020
D.S. N° 134-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),01/08/2020,29/09/2020
D.S. N° 141-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),21/08/2020,19/10/2020
D.S. N° 142-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,21/08/2020,19/10/2020
D.S. N° 148-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,01/09/2020,30/10/2020
D.S. N° 171-2020-PCM,2020,Original,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),24/10/2020,22/12/2020
D.S. N° 173-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),31/10/2020,29/12/2020
D.S. N° 198-2020-PCM,2020,Prorroga,Lluvias Intensas / Huaicos,Eje Sur (Panamericana Sur),22/12/2020,19/02/2021
D.S. N° 003-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,16/01/2021,31/01/2021
D.S. N° 007-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,23/01/2021,23/03/2021
D.S. N° 009-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,28/01/2021,14/02/2021
D.S. N° 010-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,28/01/2021,28/03/2021
D.S. N° 012-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,31/01/2021,28/02/2021
D.S. N° 022-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,06/02/2021,06/04/2021
D.S. N° 027-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,12/02/2021,12/04/2021
D.S. N° 028-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,13/02/2021,13/04/2021
D.S. N° 030-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,15/02/2021,28/02/2021
D.S. N° 033-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,20/02/2021,20/04/2021
D.S. N° 041-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Eje Norte (Panamericana Norte),05/03/2021,03/05/2021
D.S. N° 042-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,06/03/2021,04/05/2021
D.S. N° 045-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,13/03/2021,11/05/2021
D.S. N° 049-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Eje Norte (Panamericana Norte),15/03/2021,13/05/2021
D.S. N° 052-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,24/03/2021,22/05/2021
D.S. N° 053-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,24/03/2021,22/05/2021
D.S. N° 054-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central),25/03/2021,23/05/2021
D.S. N° 056-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,27/03/2021,25/05/2021
D.S. N° 057-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,27/03/2021,25/05/2021
D.S. N° 061-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,01/04/2021,30/05/2021
D.S. N° 068-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Eje Centro (Carretera Central),10/04/2021,08/06/2021
D.S. N° 069-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,11/04/2021,09/06/2021
D.S. N° 072-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,15/04/2021,13/06/2021
D.S. N° 073-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,16/04/2021,14/06/2021
D.S. N° 074-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,17/04/2021,15/06/2021
D.S. N° 079-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,22/04/2021,20/06/2021
D.S. N° 080-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,23/04/2021,21/06/2021
D.S. N° 087-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Eje Norte (Panamericana Norte),28/04/2021,26/06/2021
D.S. N° 088-2021-PCM,2021,Original,Lluvias Intensas / Huaicos,Otras Regiones,29/04/2021,27/06/2021
D.S. N° 089-2021-PCM,2021,Prorroga,Lluvias Intensas / Huaicos,Otras Regiones,30/04/2021,28/06/2021
