Anio,mes_num,mes_nombre,Diesel_Lima_Soles
2020,1,Enero,12.56
2020,2,Febrero,12.52
2020,3,Marzo,12.35
2020,4,Abril,12.21
2020,5,Mayo,11.85
2020,6,Junio,11.16
2020,7,Julio,10.81
2020,8,Agosto,10.85
2020,9,Setiembre,10.92
2020,10,Octubre,10.78
2020,11,Noviembre,10.72
2020,12,Diciembre,11.13
2021,1,Enero,11.8
2021,2,Febrero,12.37
2021,3,Marzo,13.3
2021,4,Abril,13.11
2021,5,Mayo,13.39
2021,6,Junio,13.91
2021,7,Julio,14.4
2021,8,Agosto,14.4
2021,9,Setiembre,15.09
2021,10,Octubre,15.86
2021,11,Noviembre,15.95
2021,12,Diciembre,15.78
2022,1,Enero,15.78
2022,2,Febrero,16.09
2022,3,Marzo,16.9
2022,4,Abril,15.65
2022,5,Mayo,16.26
2022,6,Junio,17.09
2022,7,Julio,17.08
2022,8,Agosto,17.27
2022,9,Setiembre,18.25
2022,10,Octubre,19.49
2022,11,Noviembre,19.69
2022,12,Diciembre,19.53
2023,1,Enero,18.99
2023,2,Febrero,18.83
2023,3,Marzo,18.35
2023,4,Abril,17.49
2023,5,Mayo,16.43
2023,6,Junio,15.59
2023,7,Julio,15.17
2023,8,Agosto,15.79
2023,9,Setiembre,16.37
2023,10,Octubre,17.19
2023,11,Noviembre,17.63
2023,12,Diciembre,17.17
2024,1,Enero,16.48
2024,2,Febrero,16.32
2024,3,Marzo,16.86
2024,4,Abril,16.88
2024,5,Mayo,16.62
2024,6,Junio,16.2
2024,7,Julio,16.31
2024,8,Agosto,16.44
2024,9,Setiembre,15.68
2024,10,Octubre,15.21
2024,11,Noviembre,15.06
2024,12,Diciembre,15.21
2025,1,Enero,15.68
2025,2,Febrero,15.78
2025,3,Marzo,15.62
2025,4,Abril,15.14
2025,5,Mayo,15.25
2025,6,Junio,15.07
2025,7,Julio,15.17
2025,8,Agosto,14.99
2025,9,Setiembre,14.92
2025,10,Octubre,15.1
2025,11,Noviembre,15.03
2025,12,Diciembre,15.08
